year,month,inflation_rate,year_month
2021,1,0.014,2021-01
2021,2,0.017,2021-02
2021,3,0.026,2021-03
2021,4,0.042,2021-04
2021,5,0.05,2021-05
2021,6,0.054,2021-06
2021,7,0.054,2021-07
2021,8,0.053,2021-08
2021,9,0.054,2021-09
2021,10,0.062,2021-10
2021,11,0.068,2021-11
2020,1,0.025,2020-01
2020,2,0.023,2020-02
2020,3,0.015,2020-03
2020,4,0.003,2020-04
2020,5,0.001,2020-05
2020,6,0.006,2020-06
2020,7,0.01,2020-07
2020,8,0.013,2020-08
2020,9,0.014,2020-09
2020,10,0.012,2020-10
2020,11,0.012,2020-11
2020,12,0.014,2020-12
2019,1,0.016,2019-01
2019,2,0.015,2019-02
2019,3,0.019,2019-03
2019,4,0.02,2019-04
2019,5,0.018,2019-05
2019,6,0.016,2019-06
2019,7,0.018,2019-07
2019,8,0.018,2019-08
2019,9,0.017,2019-09
2019,10,0.018,2019-10
2019,11,0.021,2019-11
2019,12,0.023,2019-12
2018,1,0.021,2018-01
2018,2,0.022,2018-02
2018,3,0.024,2018-03
2018,4,0.025,2018-04
2018,5,0.028,2018-05
2018,6,0.029,2018-06
2018,7,0.03,2018-07
2018,8,0.027,2018-08
2018,9,0.023,2018-09
2018,10,0.025,2018-10
2018,11,0.022,2018-11
2018,12,0.019,2018-12
